Temperature,Humidity,Nitrogen,Phosphorus,Potassium,Air_Quality,Month_Start,Month_End,Most_Recommended,Possible_Cultivation,Suggestions
25,60,40,20,30,50,1,4,Wheat,Barley,Increase soil moisture
30,70,35,25,40,45,2,5,Maize,Sorghum,Check soil nutrients
28,65,45,30,35,55,6,9,Rice,Sugarcane,Maintain flooded fields
22,55,50,20,25,40,1,3,Barley,Wheat,Reduce nitrogen fertilizer
27,60,30,15,20,50,5,8,Sorghum,Maize,Increase irrigation
26,68,35,25,30,48,6,9,Rice,Maize,Monitor pest control
24,60,40,20,30,55,1,4,Wheat,Barley,Add compost to soil
29,70,45,35,40,60,3,6,Maize,Sorghum,Apply nitrogen carefully
23,58,50,25,20,45,2,5,Barley,Wheat,Increase sunlight exposure
30,72,40,30,35,50,6,9,Sugarcane,Rice,Maintain high humidity
25,65,35,20,25,52,1,4,Wheat,Barley,Rotate crops for soil health
28,68,45,30,35,55,5,8,Rice,Maize,Ensure proper irrigation
27,63,40,25,30,50,4,7,Maize,Sorghum,Add potassium fertilizer
22,55,50,20,25,42,1,3,Barley,Wheat,Use organic mulch
26,70,35,25,30,48,6,9,Rice,Maize,Control weeds regularly
29,65,45,30,40,53,3,6,Sorghum,Maize,Check soil moisture
24,60,40,20,30,50,1,4,Wheat,Barley,Apply balanced fertilizer
27,68,35,25,35,52,5,8,Rice,Maize,Maintain moderate humidity
30,70,40,30,35,55,6,9,Maize,Sorghum,Use drip irrigation
23,58,50,25,20,45,2,5,Barley,Wheat,Ensure proper sunlight
28,66,42,28,38,50,3,7,Maize,Sorghum,Test soil pH and adjust if necessary
25,62,37,22,33,48,4,7,Wheat,Barley,Add lime to correct acidic soil
27,69,44,30,36,53,5,9,Rice,Sugarcane,Use organic fertilizers for better yield
24,59,41,25,32,46,2,5,Barley,Wheat,Protect seedlings from frost
26,65,39,27,34,50,6,9,Sorghum,Maize,Monitor irrigation schedule
29,71,46,32,38,55,7,10,Maize,Rice,Apply foliar spray for micronutrients
23,60,38,24,31,47,1,4,Wheat,Barley,Prevent waterlogging in fields
28,67,43,29,37,52,5,8,Rice,Sorghum,Use integrated pest management
25,64,36,23,33,49,3,6,Barley,Wheat,Ensure proper drainage in soil
30,72,45,31,39,54,6,9,Maize,Sorghum,Apply mulch to retain soil moisture
